Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,HUC 8,Watershed name,Partial tribal designation,Affected designated use,Pollutant or stressor,TMDL target completion year,EPA category,Mercury TMDL region,Year TMDL plan approved,TMDL ID,AUID previously listed,Changes since last List
Steenerson,Lake or Reservoir,Lake,2012,Minnesota River,61-0095-00,"2B, 3C",Pope,07020005,Chippewa River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Steep Bank,Lake or Reservoir,Lake,2014,Minnesota River,41-0082-00,"2B, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07663-001,,
Stony Run Creek,Unnamed cr to Minnesota R,Stream,2018,Minnesota River,07020001-531,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Stony Run Creek,Unnamed cr to Minnesota R,Stream,2004,Minnesota River,07020001-531,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Stony Run Creek,Unnamed cr to Minnesota R,Stream,2018,Minnesota River,07020001-531,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Stony Run Creek,Long Tom Lk to Unnamed cr,Stream,2018,Minnesota River,07020001-536,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Stony Run Creek,"T116 R40W S30, west line to Minnesota R",Stream,2014,Minnesota River,07020004-535,"2Bg, 3C",Yellow Medicine,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07663-001,,
Strandness,Lake or Reservoir,Lake,2006,Minnesota River,61-0128-00,"2B, 3C",Pope,07020005,Chippewa River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06428-001,,
Susan,Lake or Reservoir,Lake,1998,Minnesota River,10-0013-00,"2B, 3C",Carver,07020012,Lower Minnesota River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Susan,Lake or Reservoir,Lake,2010,Minnesota River,10-0013-00,"2B, 3C",Carver,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,2028,5,,,,,
Swan,Lake or Reservoir,Lake,2014,Minnesota River,34-0186-00,"2B, 3C",Kandiyohi,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07663-002,,
Swan,Lake or Reservoir,Lake,2008,Minnesota River,56-0781-00,"2B, 3C",Otter Tail,07020002,Pomme de Terre River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Swan Lake Outlet (Nicollet Creek),CD 39 to Minnesota R,Stream,2016,Minnesota River,07020007-683,"2Bg, 3C",Nicollet,07020007,Minnesota River - Mankato,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Swan Lake Outlet (Nicollet Creek),CD 39 to Minnesota R,Stream,2016,Minnesota River,07020007-683,"2Bg, 3C",Nicollet,07020007,Minnesota River - Mankato,,Aquatic Recreation,Escherichia coli (E.coli),2027,5,,,,,
Swenoda,Lake or Reservoir,Lake,2012,Minnesota River,61-0051-00,"2B, 3C",Pope,07020005,Chippewa River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07668-001,,
Ten Mile,Lake or Reservoir,Lake,2002,Minnesota River,56-0613-00,"2B, 3C",Otter Tail,07020002,Pomme de Terre River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Tenmile Creek,Headwaters to CSAH 18,Stream,2018,Minnesota River,07020003-577,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Tenmile Creek,Headwaters to CSAH 18,Stream,2004,Minnesota River,07020003-577,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Tenmile Creek,Headwaters to CSAH 18,Stream,2006,Minnesota River,07020003-577,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Recreation,Fecal coliform,,4A,,2013,PRJ06876-001,,
Tenmile Creek,CSAH 18 to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-578,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Tenmile Creek,CSAH 18 to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-578,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Tenmile Creek,CSAH 18 to Lac Qui Parle R,Stream,2006,Minnesota River,07020003-578,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Recreation,Fecal coliform,,4A,,2013,PRJ06876-001,,
Thisius Branch,CD 1 to Foster Cr,Stream,2020,Minnesota River,07020009-622,"2Bg, 3C",Faribault,07020009,Blue Earth River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Thisius Branch,CD 1 to Foster Cr,Stream,2020,Minnesota River,07020009-622,"2Bg, 3C",Faribault,07020009,Blue Earth River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Thole,Lake or Reservoir,Lake,2008,Minnesota River,70-0120-01,"2B, 3C",Scott,07020012,Lower Minnesota River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Thole,Lake or Reservoir,Lake,2002,Minnesota River,70-0120-01,"2B, 3C",Scott,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,2028,5,,,,,
Thompson,Lake or Reservoir,Lake,2012,Minnesota River,26-0020-00,"2B, 3C",Grant,07020005,Chippewa River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07668-001,,
Threemile Creek,"Headwaters to T113 R41W S33, east line",Stream,2020,Minnesota River,07020006-564,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Threemile Creek,"Headwaters to T113 R41W S33, east line",Stream,2020,Minnesota River,07020006-564,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Threemile Creek,"Headwaters to T113 R41W S33, east line",Stream,2004,Minnesota River,07020006-564,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Turbidity,2021,5,,,,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,"Headwaters to T113 R41W S33, east line",Stream,2006,Minnesota River,07020006-564,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Recreation,Fecal coliform,,4A,,2014,PRJ05696-001,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,"T113 R41W S34, west line to T112 R41W S12, east line",Stream,2020,Minnesota River,07020006-565,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Chlorpyrifos,2021,5,,,,,
Threemile Creek,"T113 R41W S34, west line to T112 R41W S12, east line",Stream,2004,Minnesota River,07020006-565,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Turbidity,2021,5,,,,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,"T113 R41W S34, west line to T112 R41W S12, east line",Stream,2006,Minnesota River,07020006-565,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Recreation,Fecal coliform,,4A,,2014,PRJ05696-001,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,"T112 R40W S7, west line to Redwood R",Stream,2004,Minnesota River,07020006-566,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Life,Turbidity,2021,5,,,,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,"T112 R40W S7, west line to Redwood R",Stream,2006,Minnesota River,07020006-566,"2Bg, 3C",Lyon,07020006,Redwood River,,Aquatic Recreation,Fecal coliform,,4A,,2014,PRJ05696-001,07020006-504,Carry forward impairment from 07020006-504
Threemile Creek,CD 140 to Minnesota R,Stream,2016,Minnesota River,07020007-704,"2Bg, 3C",Renville,07020007,Minnesota River - Mankato,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Threemile Creek,CD 140 to Minnesota R,Stream,2016,Minnesota River,07020007-704,"2Bg, 3C",Renville,07020007,Minnesota River - Mankato,,Aquatic Recreation,Escherichia coli (E.coli),2027,5,,,,,
Timms Creek,Headwaters to Minnesota R,Stream,2020,Minnesota River,07020004-525,"2Bg, 3C",Renville,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Total suspended solids (TSS),2024,5,,,,,
Timms Creek,Headwaters to Minnesota R,Stream,2010,Minnesota River,07020004-525,"2Bg, 3C",Renville,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07663-002,,
Titlow,Lake or Reservoir,Lake,2010,Minnesota River,72-0042-00,"2B, 3C",Sibley,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,2028,5,,,,,
Trapper Run Creek,Strandness Lk to Pelican Lk,Stream,2012,Minnesota River,07020005-628,"2Bg, 3C",Pope,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Trapper Run Creek,Strandness Lk to Pelican Lk,Stream,2012,Minnesota River,07020005-628,"2Bg, 3C",Pope,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Trapper Run Creek,Strandness Lk to Pelican Lk,Stream,2014,Minnesota River,07020005-628,"2Bg, 3C",Pope,07020005,Chippewa River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07668-001,,
Unnamed,Lake or Reservoir,Lake,2018,Minnesota River,06-0060-00,"2B, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Nutrients,2029,5,,,,,
Unnamed,Lake or Reservoir,Lake,2006,Minnesota River,10-0218-00,"2B, 3C",Carver,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,2028,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,12-0013-00,"2D, 3D, 4C",Chippewa,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Aquatic plant bioassessments,2024,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,12-0013-00,"2D, 3D, 4C",Chippewa,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Unnamed,Lake or Reservoir,Lake,2014,Minnesota River,19-0064-00,"2B, 3C",Dakota,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,,4A,,2015,PRJ07851-001,,
Unnamed,Lake or Reservoir,Lake,2014,Minnesota River,19-0077-00,"2B, 3C",Dakota,07020012,Lower Minnesota River,,Aquatic Recreation,Nutrients,,4A,,2015,PRJ07851-001,,
Unnamed,Lake or Reservoir,Lake,2008,Minnesota River,19-0136-00,"2B, 3C",Dakota,07020012,Lower Minnesota River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Unnamed,Wetland,Wetland,2010,Minnesota River,41-0128-00,"2D, 3D, 4C",Lincoln,07020006,Redwood River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,41-0128-00,"2D, 3D, 4C",Lincoln,07020006,Redwood River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,51-0124-00,"2D, 3D, 4C",Murray,07020006,Redwood River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,51-0124-00,"2D, 3D, 4C",Murray,07020006,Redwood River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,51-0128-00,"2D, 3D, 4C",Murray,07020006,Redwood River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,51-0128-00,"2D, 3D, 4C",Murray,07020006,Redwood River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,59-0008-00,"2D, 3D, 4C",Pipestone,07020006,Redwood River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,59-0008-00,"2D, 3D, 4C",Pipestone,07020006,Redwood River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2008,Minnesota River,61-0522-00,"2D, 3D, 4C",Pope,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,75-0175-00,"2D, 3D, 4C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,75-0175-00,"2D, 3D, 4C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,75-0375-00,"2D, 3D, 4C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Aquatic plant bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,75-0375-00,"2D, 3D, 4C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,87-0121-00,"2D, 3D, 4C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Life,Aquatic plant bioassessments,2029,5,,,,,
Unnamed,Wetland,Wetland,2010,Minnesota River,87-0121-00,"2D, 3D, 4C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Big Stone Lk,Stream,2018,Minnesota River,07020001-541,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Big Stone Lk,Stream,2018,Minnesota River,07020001-541,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Unnamed creek,Unnamed cr to Emily Cr,Stream,2004,Minnesota River,07020001-548,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Headwaters to S Fk Yellow R,Stream,2018,Minnesota River,07020001-551,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,Headwaters to S Fk Yellow R,Stream,2018,Minnesota River,07020001-551,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Headwaters to S Fk Yellow R,Stream,2018,Minnesota River,07020001-551,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2018,Minnesota River,07020001-559,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2018,Minnesota River,07020001-560,"2Bg, 3C",Big Stone,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,MN/SD border to Yellow Bank R,Stream,2018,Minnesota River,07020001-561,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Headwaters to CSAH 38,Stream,2018,Minnesota River,07020001-569,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,CSAH 38 to Marsh Lk,Stream,2018,Minnesota River,07020001-570,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,CSAH 38 to Marsh Lk,Stream,2018,Minnesota River,07020001-570,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,CSAH 38 to Marsh Lk,Stream,2018,Minnesota River,07020001-570,"2Bg, 3C",Lac Qui Parle,07020001,Minnesota River - Headwaters,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2020,Minnesota River,07020002-534,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2020,Minnesota River,07020002-534,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Pomme de Terre R,Stream,2020,Minnesota River,07020002-540,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Pomme de Terre R,Stream,2020,Minnesota River,07020002-540,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Pomme de Terre R,Stream,2020,Minnesota River,07020002-547,"2Bg, 3C",Swift,07020002,Pomme de Terre River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Pomme de Terre R,Stream,2020,Minnesota River,07020002-547,"2Bg, 3C",Swift,07020002,Pomme de Terre River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2012,Minnesota River,07020002-551,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Artichoke Cr,Stream,2020,Minnesota River,07020002-566,"2Bg, 3C",Big Stone,07020002,Pomme de Terre River,,Aquatic Life,Nutrients,2021,5,,,,,
Unnamed creek,Unnamed cr to -95.964 45.545,Stream,2020,Minnesota River,07020002-576,"2Bg, 3C",Stevens,07020002,Pomme de Terre River,,Aquatic Life,Fish bioassessments,2021,5,,,,,
Unnamed creek,Unnamed cr to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-530,"2Bg, 3C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-530,"2Bg, 3C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-530,"2Bg, 3C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Life,Total suspended solids (TSS),2029,5,,,,,
Unnamed creek,Unnamed cr to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-530,"2Bg, 3C",Yellow Medicine,07020003,Lac Qui Parle River,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Unnamed creek,CD 29A to Lac Qui Parle R,Stream,2018,Minnesota River,07020003-534,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2018,Minnesota River,07020003-567,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2018,Minnesota River,07020003-569,"2Bg, 3C",Lincoln,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,"-96.1517,  44.9533 to W Br Lac Qui Parle R",Stream,2018,Minnesota River,07020003-580,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,"-96.1517,  44.9533 to W Br Lac Qui Parle R",Stream,2018,Minnesota River,07020003-580,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,"-96.1517,  44.9533 to W Br Lac Qui Parle R",Stream,2018,Minnesota River,07020003-580,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Unnamed creek,"-95.9114, 45.012 to Lac qui Parle R",Stream,2018,Minnesota River,07020003-588,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Unnamed creek,"-95.9114, 45.012 to Lac qui Parle R",Stream,2018,Minnesota River,07020003-588,"2Bg, 3C",Lac Qui Parle,07020003,Lac Qui Parle River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Unnamed creek,Headwaters to Yellow Medicine R,Stream,2014,Minnesota River,07020004-545,"2Bg, 3C",Lyon,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07663-001,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2014,Minnesota River,07020004-564,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2014,Minnesota River,07020004-566,"2Bg, 3C",Renville,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2004,Minnesota River,07020004-566,"2Bg, 3C",Renville,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Fish bioassessments,2024,5,,,,,
Unnamed creek,Headwaters to Unnamed cr,Stream,2014,Minnesota River,07020004-595,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Fish bioassessments,2024,5,,,,,
Unnamed creek,Headwaters to Unnamed cr,Stream,2014,Minnesota River,07020004-595,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07663-001,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2006,Minnesota River,07020004-597,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Fecal coliform,,4A,,2017,PRJ07663-001,,
Unnamed creek,Unnamed cr to S Br Yellow Medicine R,Stream,2006,Minnesota River,07020004-599,"2Bg, 3C",Lyon,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Fecal coliform,,4A,,2017,PRJ07663-001,,
Unnamed creek,CD 34 to CD 35,Stream,2006,Minnesota River,07020004-600,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Recreation,Fecal coliform,,4A,,2017,PRJ07663-001,,
Unnamed creek,Ash Lk to Yellow Medicine R,Stream,2014,Minnesota River,07020004-694,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Unnamed creek,Ash Lk to Yellow Medicine R,Stream,2014,Minnesota River,07020004-694,"2Bg, 3C",Lincoln,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Fish bioassessments,2024,5,,,,,
Unnamed creek,Lone Tree Lk to Minnesota R,Stream,2014,Minnesota River,07020004-718,"2Bg, 3C",Yellow Medicine,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Unnamed creek,Lone Tree Lk to Minnesota R,Stream,2014,Minnesota River,07020004-718,"2Bg, 3C",Yellow Medicine,07020004,Minnesota River - Yellow Medicine River,,Aquatic Life,Fish bioassessments,2024,5,,,,,
Unnamed creek,Fanny Lk to Chippewa R,Stream,2020,Minnesota River,07020005-541,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Unnamed ditch,Stream,2006,Minnesota River,07020005-574,"2Bg, 3C",Swift,07020005,Chippewa River,,Aquatic Life,Turbidity,,4A,,2014,PRJ06812-001,,
Unnamed creek,Unnamed cr to Chippewa R,Stream,2020,Minnesota River,07020005-576,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Chippewa R,Stream,2012,Minnesota River,07020005-584,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,,4A,,2017,PRJ07668-001,,
Unnamed creek,Unnamed cr to Chippewa R,Stream,2012,Minnesota River,07020005-584,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Dissolved oxygen,,4A,,2017,PRJ07668-001,,
Unnamed creek,Unnamed cr to Chippewa R,Stream,2014,Minnesota River,07020005-584,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07668-001,,
Unnamed creek,Headwaters to Lk Ben,Stream,2012,Minnesota River,07020005-623,"2Bg, 3C",Pope,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Unnamed lk to Unnamed lk,Stream,2012,Minnesota River,07020005-638,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed lk to Unnamed lk,Stream,2012,Minnesota River,07020005-638,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Dry Weather Cr,Stream,2020,Minnesota River,07020005-660,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Dry Weather Cr,Stream,2020,Minnesota River,07020005-660,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2020,Minnesota River,07020005-661,"2Bg, 3C",Chippewa,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed lk (21-0295-00) to Chippewa R,Stream,2020,Minnesota River,07020005-666,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Headwaters to Ellen Lk,Stream,2020,Minnesota River,07020005-670,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Headwaters to Ellen Lk,Stream,2020,Minnesota River,07020005-670,"2Bg, 3C",Douglas,07020005,Chippewa River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
